Name,Veg/Non-Veg,Class,Calories,Carbohydrate,Protein,Fat,Fibre,Vitamin A,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Selenium,Zinc,Potassium
Spinach,Veg,Vegetable,23,3.63,2.86,0.39,2.2,667,0.108,0.24,0.894,0.0546,0.56,-,6.8,-,-,-,36,0.256,0.61,16,0.178,32,0.25,0.36,321
Cabbage,Veg,Vegetable,56,5.6,2.5,0.14,2.3,625,0.123,0.63,0.638,0.466,0.36,-,4.6,-,-,-,61,0.612,0.36,18,0.126,35,0.21,0.34,256
Brocolli,Veg,Vegetable,61,4.7,1.66,0.14,2.3,689,0.159,0.002,0.598,0.652,0.35,-,6.2,-,-,-,56,0.875,0.28,25,0.168,35,0.34,25,324
Orange,Veg,Fruits,29,9,0.01,0.1,5.5,6,0.056,0.547,0.685,0.156,0.2354,-,-,-,-,-,2,-,0.53,31,0.52,30,1.25,0.3,352
Strawberries,Veg,Fruits,30,6.7,1.1,0.2,5.9,6.7,0.005,0.568,0.657,0.657,0.324,-,-,-,-,-,2.9,-,0.354,30,0.26,16,1.59,0.34,263
Popcorn,Veg,Grains,325,49,6.8,2,5.1,,0.203,0.283,1.94,0.42,0.245,-,-,-,-,-,20.8,0.42,2,131,0.943,300,9.9,3.4,246.5
Asparagus,Veg,Vegetable,57,25,1.25,0.31,2.8,625,0.167,0.37,0.679,0.179,0.51,-,3.4,-,-,-,49,0.512,0.48,15,0.24,34,0.32,0.17,214
Green peas,Veg,Vegetable,59,25,2.9,0.157,3.6,576,0.199,0.058,0.548,0.687,0.333,-,5.3,-,-,-,61,0.0258,0.46,23,0.198,37,0.17,0.52,268
Rasberries,Veg,Fruits,30,6.7,1.1,0.2,5.9,6.7,0.005,0.568,0.657,0.657,0.324,-,-,-,-,-,2.9,-,0.354,30,0.26,16,1.59,0.34,263
Beef,Non-Veg,Animal,260,-,25.4,16.82,-,3,0.047,0.175,5.07,,0.364,2.7,-,-,0.12,1.7,24,0.08,2.47,20,-,192,21.3,-,302
Pork,Non-Veg,Animal,297,-,25.7,20.8,-,,0.706,0.22,4.21,0.52,0.391,0.54,-,21,0.21,-,22,-,1.29,24,0.11,226,,3.21,362
Turkey,Non-Veg,Animal,147,-,30.1,2.8,-,0.3,0.035,0.205,11,0.9,0.807,0.39,-,0.3,-,-,-,0.063,0.71,32,0.011,230,30.2,1.72,249
Mango,Veg,Fruits,91,20,1.84,0.33,2.6,3,0.031,0.073,0.665,0.334,0.367,-,-,-,-,-,5,-,0.26,27,0.27,22,1,0.15,358
Grape,Veg,Fruits,30,6.7,1.1,0.2,5.9,6.7,0.005,0.568,0.657,0.657,0.324,-,-,-,-,-,2.9,-,0.354,30,0.26,16,1.59,0.34,263
Lemon,Veg,Vegetable,29,9.2,1.1,0.3,2.8,257,0.158,0.034,0.321,0.476,0.221,-,9.5,-,-,-,2.3,0.52,0.51,20,0.541,18,0.01,0.2,168
Kiwi,Veg,Fruits,81,20,1.84,0.33,2.6,3,0.031,0.073,0.665,0.334,0.367,-,-,-,-,-,5,-,0.26,27,0.27,22,1,0.15,358
Curd,Veg,Dairy,61,4.66,3.47,3.25,-,27,0.029,0.142,0.075,0.389,0.032,0.37,-,-,-,-,121,-,0.05,12,-,95,2.2,0.59,155
Pineapple,Veg,Fruits,91,20,1.84,0.33,2.6,3,0.031,0.073,0.665,0.334,0.367,-,-,-,-,-,5,-,0.26,27,0.27,22,1,0.15,358
,,,,,,,,,,,,,,,,,,,,,,,,,,,
